,distFromTo,dist_from,dist_to,Increase 20-45,P7
405,"(10, 10)",10,10,1.3125,1.677685950413223
407,"(10, 12)",10,12,1.3799426934097418,31.787060301507534
408,"(10, 13)",10,13,2.4035087719298245,2.61
410,"(10, 15)",10,15,1.1153846153846154,7.826989619377162
415,"(10, 20)",10,20,1.0952380952380951,1.751677852348993
420,"(10, 25)",10,25,1.5,2.0
437,"(10, 42)",10,42,1.4666666666666666,2.9482439926062844
493,"(12, 10)",12,10,2.6122448979591835,2.6777638190954773
495,"(12, 12)",12,12,5.875266524520256,4.612071888775857
496,"(12, 13)",12,13,2.0081967213114758,2.0860849056603774
498,"(12, 15)",12,15,2.0171821305841924,5.196428571428571
503,"(12, 20)",12,20,2.9056603773584904,1.2179080824088748
508,"(12, 25)",12,25,14.0,0.10283687943262412
525,"(12, 42)",12,42,1.7906976744186047,1.3517615176151765
537,"(13, 10)",13,10,1.849056603773585,2.426842105263158
539,"(13, 12)",13,12,1.2965340179717586,13.320165094339623
540,"(13, 13)",13,13,3.3571428571428568,0.8103792415169662
542,"(13, 15)",13,15,1.184971098265896,6.631857237276933
547,"(13, 20)",13,20,1.140625,1.7794822627037392
549,"(13, 22)",13,22,0.0,0.4603174603174603
552,"(13, 25)",13,25,1.3333333333333333,3.0
569,"(13, 42)",13,42,1.5,1.7177063642091996
625,"(15, 10)",15,10,0.981981981981982,6.683044982698961
627,"(15, 12)",15,12,1.2137361606305124,95.16071428571428
628,"(15, 13)",15,13,1.2424942263279446,8.299405155320555
630,"(15, 15)",15,15,1.1343804537521816,16.625312656328163
635,"(15, 20)",15,20,1.1168831168831168,2.4484649122807016
637,"(15, 22)",15,22,1.0,0.4603174603174603
640,"(15, 25)",15,25,1.2,5.0
657,"(15, 42)",15,42,1.182608695652174,4.754098360655738
845,"(20, 10)",20,10,0.9225352112676056,7.896452540747843
847,"(20, 12)",20,12,1.1554570091155456,93.27337559429476
848,"(20, 13)",20,13,1.0918727915194346,7.8686481303930975
850,"(20, 15)",20,15,1.0868263473053892,10.620614035087721
855,"(20, 20)",20,20,1.0028169014084507,13.68106312292359
857,"(20, 22)",20,22,1.0909090909090908,3.158415841584158
860,"(20, 25)",20,25,1.2272727272727273,19.044776119402982
877,"(20, 42)",20,42,1.068522483940043,9.231765507839127
933,"(22, 10)",22,10,1.1666666666666667,2.761904761904762
935,"(22, 12)",22,12,1.0864197530864197,19.822784810126578
936,"(22, 13)",22,13,1.2,2.3015873015873014
938,"(22, 15)",22,15,1.1111111111111112,4.142857142857142
943,"(22, 20)",22,20,1.0816326530612246,14.069306930693068
945,"(22, 22)",22,22,0.9928057553956836,11.821114369501464
948,"(22, 25)",22,25,1.1666666666666667,7.941908713692946
965,"(22, 42)",22,42,1.125,3.6825396825396814
1065,"(25, 10)",25,10,1.3333333333333333,24.0
1067,"(25, 12)",25,12,0.9506999391357274,168.9609929078014
1068,"(25, 13)",25,13,1.5,20.0
1070,"(25, 15)",25,15,1.195121951219512,41.0
1075,"(25, 20)",25,20,1.2376237623762376,43.71641791044776
1077,"(25, 22)",25,22,1.1587301587301588,7.58091286307054
1080,"(25, 25)",25,25,1.2297297297297298,13.4125
1097,"(25, 42)",25,42,1.4230769230769231,26.0
1813,"(42, 10)",42,10,0.9172661870503596,4.967344423906346
1815,"(42, 12)",42,12,1.2352141400407886,23.121409214092147
1816,"(42, 13)",42,13,1.1014492753623188,5.043478260869565
1818,"(42, 15)",42,15,1.187311178247734,6.8417676407697785
1823,"(42, 20)",42,20,0.8333333333333334,4.032719836400818
1825,"(42, 22)",42,22,1.0,0.4603174603174603
1828,"(42, 25)",42,25,1.0,6.0
1845,"(42, 42)",42,42,1.08203125,3.3217002237136466
